DAY,CORRECTNESS,NUM_RESULT_OWNERS,NUM_QUESTIONS
2018-10-23,3,148484,354826
2018-02-21,1,17104,148873
2018-08-16,2,32435,243562
2018-09-17,1,69523,573480
2018-10-25,1,330920,1156956
2018-09-25,1,64782,524746
2018-04-24,3,7444,25958
2018-02-09,2,16162,131529
2018-09-27,1,65594,558451
2018-09-12,2,71326,456810
2018-11-14,3,21005,67511
2018-10-16,2,57588,351562
2018-05-31,2,10028,57756
2018-09-11,3,32146,113172
2018-04-09,2,20378,154103
2018-07-31,1,2797,24173
2018-07-17,1,2850,24056
2018-08-16,1,32755,300752
2018-11-12,2,31849,182298
2018-07-25,2,2347,12720
2018-06-13,3,3830,15875
2018-06-21,2,4410,27386
2018-06-04,2,10386,68165
2018-11-20,3,16174,55353
2018-01-07,2,1590,13349
2018-08-07,3,3767,14765
2018-04-29,3,785,3224
2018-06-10,1,1497,11699
2018-11-06,3,90472,221242
2018-10-22,1,353161,1190035
2018-10-25,2,318637,977994
2018-09-19,2,60090,387043
2018-01-29,1,19307,183261
2018-01-19,1,15475,138745
2018-10-03,3,24521,81656
2018-03-05,2,17236,132800
2018-08-24,2,50860,366580
2018-09-09,1,74776,395505
2018-10-12,3,23358,84478
2018-09-19,3,26477,92933
2018-06-06,3,5062,19536
2018-03-07,2,17368,137601
2018-02-26,1,19064,177366
2018-09-06,3,35807,133035
2018-05-25,2,9427,48295
2018-05-02,2,13457,77417
2018-05-15,2,13828,82885
2018-11-25,1,2667,29193
2018-03-03,2,1110,7695
2018-03-13,1,14936,132827
2018-08-04,3,511,1800
2018-09-16,2,3620,24063
2018-08-01,3,1694,5910
2018-01-06,1,1173,12130
2018-01-14,2,1247,10413
2018-07-07,3,566,2126
2018-07-12,2,2678,14820
2018-01-19,2,15782,129405
2018-11-07,2,282078,868643
2018-11-01,1,301288,1061574
2018-11-08,2,276698,842645
2018-05-21,1,17838,155922
2018-10-19,3,22428,80146
2018-10-28,2,35908,107011
2018-03-23,2,15844,127483
2018-09-13,2,73989,488580
2018-10-18,3,22865,79634
2018-04-03,2,12451,96527
2018-11-20,1,36038,320016
2018-09-18,3,29978,105684
2018-11-26,3,19977,65348
2018-05-15,3,6778,25216
2018-02-04,1,1705,16300
2018-11-10,1,1956,15571
2018-06-16,2,877,4758
2018-07-08,3,644,2244
2018-07-08,1,1243,9704
2018-02-04,2,1727,14176
2018-03-26,2,14721,118282
2018-10-25,3,131318,321579
2018-06-07,3,4213,15709
2018-04-26,3,6674,23373
2018-03-08,2,17980,138452
2018-05-25,1,10094,80550
2018-09-20,1,73550,630173
2018-08-20,2,38166,260993
2018-03-12,1,16076,146403
2018-11-29,1,50472,408332
2018-02-06,1,18331,167172
2018-01-17,1,12903,112739
2018-04-19,2,15530,89201
2018-04-04,1,12233,110003
2018-11-04,1,39096,140791
2018-06-19,3,3326,13821
2018-11-10,2,1744,8658
2018-07-05,3,1333,4570
2018-07-16,2,2978,15899
2018-01-20,2,1243,9521
2018-02-18,2,1210,9105
2018-11-25,2,2439,16920
2018-06-27,1,3285,32505
2018-05-05,1,1026,9224
2018-07-29,2,972,5542
2018-11-19,1,41216,303707
2018-01-01,2,1091,8636
2018-03-29,2,11861,87969
2018-03-21,1,14765,130232
2018-10-05,2,51318,325127
2018-10-01,3,26914,91186
2018-11-19,3,17396,51134
2018-01-23,2,18867,158750
2018-10-28,1,41543,144468
2018-10-12,1,51293,456148
2018-08-14,2,22577,158629
2018-01-16,1,15839,149748
2018-01-20,1,1196,11716
2018-08-03,3,2197,7968
2018-06-27,2,2962,18486
2018-06-11,2,8873,55208
2018-08-26,1,2292,26120
2018-06-02,3,524,1846
2018-08-19,3,1021,4267
2018-07-07,2,935,4029
2018-06-30,2,500,2241
2018-07-15,1,1105,9060
2018-04-15,2,1786,8519
2018-07-14,1,1014,8360
2018-11-17,1,1727,13612
2018-05-13,3,651,2446
2018-04-21,3,680,2691
2018-02-02,1,16127,145283
2018-11-02,2,239252,762585
2018-02-08,1,18020,169844
2018-09-24,2,64735,404993
2018-02-20,2,15999,131832
2018-10-08,1,35009,277647
2018-10-16,1,59150,497469
2018-08-15,1,26761,244219
2018-01-11,1,19887,191828
2018-10-09,3,24690,85074
2018-09-06,1,75997,678513
2018-05-18,2,10853,64289
2018-05-24,1,13409,110365
2018-06-07,2,8803,52210
2018-05-26,1,1085,8918
2018-01-12,2,16531,151997
2018-02-20,1,15814,147178
2018-09-16,3,2110,9650
2018-08-09,3,7684,27977
2018-11-18,1,2215,17541
2018-07-06,3,1265,4980
2018-07-10,3,1823,7126
2018-07-04,1,1323,11630
